,host_name,host_since,host_neighbourhood,property_type,room_type,price
20218,Natalija,2018-09-09,Hollywood,Private room in rental unit,Private room,
20219,Christine,2022-05-04,Downtown Los Angeles,Entire loft,Entire home/apt,$128.00
20220,Detrich,2021-01-26,Chatsworth,Private room in home,Private room,$75.00
20221,Anne,2016-12-30,,Entire home,Entire home/apt,
20222,Elaine,2021-01-28,Belmont Shore,Entire rental unit,Entire home/apt,$259.00
20223,Tigran,2015-12-28,Charter Oak,Entire condo,Entire home/apt,$250.00
20224,Jeff,2022-06-13,,Private room in farm stay,Private room,$55.00
20225,Paulina Maria,2016-02-22,Northridge,Entire guest suite,Entire home/apt,$105.00
20226,Brandon,2016-04-14,Downtown Los Angeles,Entire condo,Entire home/apt,$158.00
20227,Samantha,2011-06-22,Venice,Entire guesthouse,Entire home/apt,
20228,Sueng,2017-04-05,San Pedro,Entire home,Entire home/apt,$250.00
20229,Sai Suman,2015-11-24,Central LA,Entire rental unit,Entire home/apt,$107.00
20230,Barbara,2016-01-01,Central LA,Entire condo,Entire home/apt,$215.00
20231,Rhita,2016-05-15,East Village,Entire condo,Entire home/apt,$70.00
20232,Casey,2020-02-13,,Entire home,Entire home/apt,
20233,Joshua,2021-08-10,Downtown Los Angeles,Entire loft,Entire home/apt,$215.00
20234,Biké,2016-02-17,Newhall,Private room in home,Private room,$88.00
20235,Qiu,2022-06-15,South Montebello,Private room in home,Private room,$43.00
20236,Qiu,2022-06-15,South Montebello,Private room in home,Private room,$47.00
20237,Qiu,2022-06-15,South Montebello,Private room in home,Private room,$46.00
20238,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$210.00
20239,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$200.00
20240,Lisa,2014-03-17,South Redondo,Private room in home,Private room,$132.00
20241,Cesar,2016-05-19,,Entire guesthouse,Entire home/apt,$164.00
20242,Sonja,2022-06-18,Palms,Entire guesthouse,Entire home/apt,$189.00
20243,Luke,2022-06-18,,Entire loft,Entire home/apt,$485.00
20244,Jen,2013-03-12,North Hollywood,Entire home,Entire home/apt,$181.00
20245,Resside,2017-09-06,Central LA,Entire condo,Entire home/apt,$341.00
20246,Daniel,2020-11-07,,Private room in home,Private room,$59.00
20247,Vickie,2014-11-25,,Entire townhouse,Entire home/apt,$500.00
20248,Gabe,2014-12-15,El Porto,Entire rental unit,Entire home/apt,$152.00
20249,Annette,2021-11-08,Pico - Robertson,Entire rental unit,Entire home/apt,$158.00
20250,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,
20251,Lisa,2014-03-17,South Redondo,Private room in home,Private room,$132.00
20252,Lisa,2014-03-17,South Redondo,Private room in home,Private room,$112.00
20253,Andrew,2022-03-31,,Entire home,Entire home/apt,
20254,Nayana,2015-04-16,Central LA,Private room in rental unit,Private room,$110.00
20255,Sina,2017-03-31,Willow Glen,Entire rental unit,Entire home/apt,$156.00
20256,Ann,2022-06-14,,Entire home,Entire home/apt,$161.00
20257,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20258,Chunping,2022-04-14,,Private room in guest suite,Private room,$178.00
20259,Lorene,2021-04-21,,Entire home,Entire home/apt,$275.00
20260,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20261,Cynthia,2012-05-08,Central LA,Entire rental unit,Entire home/apt,$108.00
20262,Andrew,2022-06-15,Sun Valley,Entire guesthouse,Entire home/apt,$126.00
20263,Romain,2011-08-09,,Entire villa,Entire home/apt,$711.00
20264,Jazmine,2015-02-24,North Hollywood,Entire townhouse,Entire home/apt,$195.00
20265,Chelsea,2012-08-22,Central LA,Entire guest suite,Entire home/apt,
20266,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$256.00
20267,Erica,2016-06-05,,Private room in townhouse,Private room,$75.00
20268,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,$75.00
20269,Tal,2017-04-02,Central LA,Entire home,Entire home/apt,$317.00
20270,Jacqueline & Michelle,2016-12-30,Alhambra,Entire home,Entire home/apt,$297.00
20271,The Maimon Group,2021-08-06,Central LA,Entire villa,Entire home/apt,"$1,199.00"
20272,Sarah,2012-06-21,Central LA,Private room in rental unit,Private room,$100.00
20273,Natalie,2015-08-22,South Los Angeles,Entire guesthouse,Entire home/apt,$113.00
20274,Glory,2022-05-23,,Entire rental unit,Entire home/apt,$90.00
20275,Kay,2022-06-16,Downtown Los Angeles,Entire condo,Entire home/apt,$113.00
20276,Chang,2022-05-05,,Entire home,Entire home/apt,$97.00
20277,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$173.00
20278,Sam,2017-05-08,Central LA,Entire guest suite,Entire home/apt,$63.00
20279,Tal,2016-05-19,Central LA,Entire villa,Entire home/apt,"$1,949.00"
20280,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,
20281,Ruimeng,2020-11-11,,Private room in guest suite,Private room,$91.00
20282,Ricardo,2016-04-21,North Hollywood,Entire home,Entire home/apt,$65.00
20283,DSPG Management,2020-11-04,Mid City,Entire rental unit,Entire home/apt,$90.00
20284,Niki,2016-06-15,South Los Angeles,Private room in home,Private room,$63.00
20285,Padmapriya,2016-11-19,Windsor Hills,Entire home,Entire home/apt,$445.00
20286,Marcia,2020-10-14,Venice,Entire condo,Entire home/apt,$375.00
20287,Samantha Ann,2014-04-22,Sylvia Park,Entire cottage,Entire home/apt,$427.00
20288,Nora,2016-01-31,,Entire villa,Entire home/apt,$142.00
20289,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,$80.00
20290,David,2014-08-27,Venice,Entire home,Entire home/apt,
20291,Diane,2016-07-13,Central Malibu,Private room in guest suite,Private room,$305.00
20292,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,$60.00
20293,Kimberly Purdy,2012-12-12,Belmont Heights,Entire home,Entire home/apt,$251.00
20294,Itay,2020-01-13,West Hills,Entire vacation home,Entire home/apt,$140.00
20295,Logan,2017-08-14,Mariposa,Entire rental unit,Entire home/apt,$245.00
20296,Edgar,2022-06-16,North Hollywood,Entire home,Entire home/apt,$397.00
20297,Sonja,2022-07-29,,Private room in home,Private room,
20298,Saynaz,2016-06-24,Belmont Heights,Entire home,Entire home/apt,$115.00
20299,The Maimon Group,2021-08-06,Central LA,Entire villa,Entire home/apt,"$1,462.00"
20300,Lei,2014-08-30,Harbor,Private room in home,Private room,$79.00
20301,Natalia,2022-01-11,Silver Lake,Entire villa,Entire home/apt,$919.00
20302,Jessica,2013-03-18,,Entire home,Entire home/apt,
20303,Reda Fakery,2020-10-19,Pico,Entire rental unit,Entire home/apt,$90.00
20304,Crystal,2015-06-30,Eagle Rock,Entire rental unit,Entire home/apt,$101.00
20305,Michael,2012-04-11,Fernwood,Entire guesthouse,Entire home/apt,$145.00
20306,Michael,2012-04-11,Fernwood,Entire guesthouse,Entire home/apt,$105.00
20307,Justin,2014-02-10,South LA,Entire rental unit,Entire home/apt,
20308,Justin,2014-02-10,South LA,Entire rental unit,Entire home/apt,
20309,Smitha,2014-10-13,Sunset Park,Entire rental unit,Entire home/apt,$178.00
20310,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,
20311,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,
20312,Alanha,2016-02-27,,Entire home,Entire home/apt,$191.00
20313,Patricia,2022-05-11,,Entire home,Entire home/apt,
20314,Jessica,2022-06-16,Echo Park,Entire home,Entire home/apt,$180.00
20315,Mirai,2015-12-08,Northeast Los Angeles,Entire guesthouse,Entire home/apt,
20316,Sandra,2022-06-17,Alamitos Beach,Entire home,Entire home/apt,$170.00
20317,Mia,2016-03-03,Downtown,Entire rental unit,Entire home/apt,$228.00
20318,Ramona,2022-06-16,Downtown Los Angeles,Entire rental unit,Entire home/apt,$250.00
20319,Pierre,2017-06-02,Belmont Shore,Entire home,Entire home/apt,
20320,Justin,2014-02-10,South LA,Entire rental unit,Entire home/apt,
20321,Rebecca Katherine,2014-09-15,,Entire guesthouse,Entire home/apt,$201.00
20322,Andre,2015-10-12,East Village,Entire condo,Entire home/apt,
20323,Gabriel,2021-12-18,Silver Lake,Entire home,Entire home/apt,$267.00
20324,Emily,2013-10-12,Playa Vista,Entire condo,Entire home/apt,$222.00
20325,Oy,2021-05-20,South Los Angeles,Private room in home,Private room,$265.00
20326,Marie,2013-04-20,Eastern Malibu,Entire villa,Entire home/apt,"$1,543.00"
20327,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$233.00
20328,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$179.00
20329,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$211.00
20330,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$208.00
20331,James And Phylline,2011-06-07,Long Beach,Entire bungalow,Entire home/apt,$243.00
20332,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,$80.00
20333,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,$80.00
20334,Ekaterina,2014-01-08,Plaza,Entire home,Entire home/apt,$287.00
20335,Jen,2013-03-12,North Hollywood,Entire guesthouse,Entire home/apt,$70.00
20336,Tony,2022-06-21,Northeast Los Angeles,Entire bungalow,Entire home/apt,$130.00
20337,Roni,2017-12-20,Hollywood Hills,Entire bungalow,Entire home/apt,$159.00
20338,Jong Seong,2021-12-28,Downtown Los Angeles,Entire condo,Entire home/apt,$225.00
20339,Chi Tung,2019-06-24,Ontario Ranch,Private room in home,Private room,$48.00
20340,Michael,2014-04-24,Central LA,Entire home,Entire home/apt,
20341,Amber,2016-04-06,,Entire rental unit,Entire home/apt,$146.00
20342,Paris,2015-07-30,Northeast Los Angeles,Entire home,Entire home/apt,$85.00
20343,Zanoza,2020-06-04,Grandview,Entire home,Entire home/apt,$162.00
20344,Zach,2015-02-27,Venice,Entire home,Entire home/apt,$332.00
20345,Joanna,2011-06-18,Magnolia Park,Entire guesthouse,Entire home/apt,$150.00
20346,Rafael,2019-11-03,Madrona,Private room in home,Private room,$50.00
20347,Lvhr Properties,2015-05-05,Laurel Canyon,Entire villa,Entire home/apt,"$3,882.00"
20348,Cynthia,2016-01-23,Lamanda Park,Entire home,Entire home/apt,$504.00
20349,Farzad,2016-05-15,Chatsworth,Entire townhouse,Entire home/apt,$150.00
20350,Chelsea,2014-02-14,Mid City,Entire home,Entire home/apt,$214.00
20351,Aundrea,2014-06-28,,Entire home,Entire home/apt,$112.00
20352,Will,2013-07-26,Pelanconi,Entire guest suite,Entire home/apt,
20353,Paris,2015-07-30,Northeast Los Angeles,Entire home,Entire home/apt,$75.00
20354,Baebae,2013-05-07,Sovana,Entire home,Entire home/apt,$116.00
20355,Mark,2014-04-22,North Hollywood,Entire home,Entire home/apt,$200.00
20356,Bridget,2022-06-03,,Private room in guest suite,Private room,$64.00
20357,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$280.00
20358,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$216.00
20359,Adeet,2017-11-17,Central LA,Entire guesthouse,Entire home/apt,$90.00
20360,Tarik,2015-10-30,North Long Beach,Entire home,Entire home/apt,$316.00
20361,Blasi,2015-05-21,Bel Air,Entire home,Entire home/apt,$450.00
20362,Elmer,2016-12-24,,Private room,Private room,$86.00
20363,Ashish Harmohanlal,2020-09-28,Central Beach Alliance,Entire rental unit,Entire home/apt,$181.00
20364,Venkatesan,2020-11-12,,Private room in home,Private room,$134.00
20365,Chris,2019-03-06,Playa del Rey,Entire guesthouse,Entire home/apt,$85.00
20366,Amir,2012-08-27,Westside,Entire serviced apartment,Entire home/apt,$129.00
20367,Aimee,2024-04-02,,Entire place,Entire home/apt,$618.00
20368,Paul,2011-07-13,Hollywood,Entire guesthouse,Entire home/apt,$85.00
20369,Igor,2014-05-17,Ocean Park,Private room in rental unit,Private room,$77.00
20370,Gabrielle,2016-03-01,Silver Lake,Entire guest suite,Entire home/apt,$162.00
20371,Nina,2018-07-19,Central LA,Private room in rental unit,Private room,$105.00
20372,Khurram,2013-10-10,Culver - West,Entire guesthouse,Entire home/apt,
20373,Justin,2014-02-10,South LA,Entire townhouse,Entire home/apt,
20374,Sam,2019-02-19,,Tiny home,Entire home/apt,$48.00
20375,Aura,2013-10-03,Mid City,Entire townhouse,Entire home/apt,$75.00
20376,Paul,2011-07-13,Hollywood,Entire home,Entire home/apt,$399.00
20377,Chuck,2022-06-08,Bluff Park,Entire home,Entire home/apt,$588.00
20378,Blanca,2017-09-05,San Pedro,Entire home,Entire home/apt,$250.00
20379,Pete,2018-01-26,Sherman Oaks,Entire home,Entire home/apt,$500.00
20380,David,2022-06-06,North Hollywood,Entire home,Entire home/apt,$177.00
20381,Ron,2022-06-22,Central LA,Private room in condo,Private room,$60.00
20382,Firoozeh Rose,2018-02-16,Woodland Hills/Warner Center,Private room in home,Private room,$40.00
20383,Amalya,2014-07-21,Pasadena,Entire rental unit,Entire home/apt,$228.00
20384,Ofir,2012-11-25,Westchester/Playa Del Rey,Entire home,Entire home/apt,$186.00
20385,Justin,2014-02-10,South LA,Entire rental unit,Entire home/apt,
20386,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,$70.00
20387,The Livingston Collection,2022-05-31,Central LA,Entire rental unit,Entire home/apt,
20388,Shelby,2022-06-26,,Entire guesthouse,Entire home/apt,$117.00
20389,Jason,2016-08-18,Charter Oak,Entire home,Entire home/apt,$136.00
20390,Roy,2015-01-08,Blanco - Culver Crest,Private room in home,Private room,$135.00
20391,Marvin,2022-04-30,Chatsworth,Entire guest suite,Entire home/apt,$129.00
20392,Christina,2018-01-24,South Los Angeles,Entire rental unit,Entire home/apt,$247.00
20393,Anthony,2022-06-14,South Los Angeles,Entire guest suite,Entire home/apt,$100.00
20394,Geoffrey,2011-02-06,North Hills,Entire guesthouse,Entire home/apt,$92.00
20395,Liang,2016-05-02,,Private room in home,Private room,
20396,Liang,2016-05-02,,Private room in home,Private room,
20397,Liang,2016-05-02,,Private room in home,Private room,
20398,Jc,2022-06-08,Central LA,Entire home,Entire home/apt,$508.00
20399,Sara,2017-12-17,Manhattan Beach,Entire home,Entire home/apt,$626.00
20400,Erin,2017-01-12,Peninsula,Entire rental unit,Entire home/apt,$137.00
20401,Ingeburg,2012-09-02,,Camper/RV,Entire home/apt,
20402,Anna,2014-04-02,South Los Angeles,Entire guesthouse,Entire home/apt,$95.00
20403,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$196.00
20404,Adel,2017-01-23,Hollywood,Entire rental unit,Entire home/apt,$84.00
20405,Leah,2021-09-01,Woodland Hills,Entire home,Entire home/apt,$426.00
20406,Jeffrey,2018-04-23,Northeast Los Angeles,Entire home,Entire home/apt,$311.00
20407,Janet,2011-12-01,Downtown Los Angeles,Entire condo,Entire home/apt,$150.00
20408,Natalie,2013-01-11,Art District,Entire home,Entire home/apt,$131.00
20409,Athena,2021-10-11,South Montebello,Private room in home,Private room,$69.00
20410,Dahabada,2014-04-28,,Entire home,Entire home/apt,$682.00
20411,Malicia,2015-10-11,Canyon Country,Entire home,Entire home/apt,$350.00
20412,Tim,2014-10-11,Central LA,Entire townhouse,Entire home/apt,$385.00
20413,Katherine,2016-12-28,,Entire bungalow,Entire home/apt,$150.00
20414,David,2015-06-04,Santa Monica,Entire rental unit,Entire home/apt,$105.00
20415,Trey,2017-08-21,Northridge,Entire rental unit,Entire home/apt,$119.00
20416,Amir,2012-08-27,Westside,Entire rental unit,Entire home/apt,$79.00
20417,Ari,2022-03-30,Central LA,Entire rental unit,Entire home/apt,$79.00
20418,Levi,2020-05-29,Downtown Los Angeles,Entire rental unit,Entire home/apt,$272.00
20419,Anthony,2017-03-19,,Entire guesthouse,Entire home/apt,$104.00
20420,Sachindeep Singh,2019-06-12,Central LA,Entire rental unit,Entire home/apt,$154.00
20421,Daniel,2020-02-26,Central LA,Entire townhouse,Entire home/apt,$269.00
20422,Lauren,2011-11-30,Venice,Entire home,Entire home/apt,$600.00
20423,Elena,2012-05-15,Marina Del Rey,Entire condo,Entire home/apt,$94.00
20424,Darin,2022-06-22,,Entire home,Entire home/apt,$248.00
20425,Devin,2018-04-03,Venice,Entire home,Entire home/apt,$703.00
20426,Jacky,2019-05-15,South Montebello,Entire home,Entire home/apt,$68.00
20427,Sachindeep Singh,2019-06-12,Central LA,Entire rental unit,Entire home/apt,$153.00
20428,Blueground,2016-12-16,Cambridge,Entire rental unit,Entire home/apt,$169.00
20429,Alina,2016-12-25,South LA,Entire home,Entire home/apt,$83.00
20430,Anna And Jeremiah,2016-03-11,Sherman Oaks,Entire home,Entire home/apt,
20431,ChienYen,2022-06-30,Downtown Los Angeles,Entire rental unit,Entire home/apt,$119.00
20432,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20433,Heidi,2012-11-20,Old Topanga,Farm stay,Entire home/apt,$149.00
20434,Qianni,2022-06-24,Walnut Valley,Entire home,Entire home/apt,$178.00
20435,Ru,2015-04-16,Burbank,Entire villa,Entire home/apt,"$2,700.00"
20436,Evolve,2017-04-19,La Playa,Entire rental unit,Entire home/apt,$132.00
20437,Samantha,2013-10-26,,Private room in tiny home,Private room,$97.00
20438,Zach,2013-09-17,East Village,Private room in condo,Private room,$74.00
20439,Heidi,2012-11-20,Old Topanga,Entire home,Entire home/apt,"$1,188.00"
20440,Kaylen,2019-06-09,Eastern Malibu,Entire home,Entire home/apt,
20441,Olivia,2021-09-29,Central LA,Private room in condo,Private room,$107.00
20442,Jennifer,2016-02-03,Woodland Hills,Entire home,Entire home/apt,
20443,Ding Yuan,2017-09-15,Garvey,Entire guesthouse,Entire home/apt,$146.00
20444,Mohammaderfan,2018-08-09,West Hills,Entire guesthouse,Entire home/apt,$158.00
20445,Tina,2017-07-12,Downtown Los Angeles,Entire rental unit,Entire home/apt,$134.00
20446,Adrian,2021-08-22,Hollywood Hills West,Entire villa,Entire home/apt,$746.00
20447,Tina,2014-09-06,West Hollywood,Entire home,Entire home/apt,$800.00
20448,Shane,2014-11-13,South Los Angeles,Entire home,Entire home/apt,$153.00
20449,Madison,2014-12-10,Central LA,Entire villa,Entire home/apt,"$4,120.00"
20450,Alice,2022-06-24,,Private room in villa,Private room,$57.00
20451,Belinda,2018-07-13,Ocean Park,Entire condo,Entire home/apt,$169.00
20452,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20453,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20454,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20455,RoomPicks By Antony,2014-12-23,Clearwater Beach,Room in hotel,Hotel room,
20456,Mariya,2014-04-03,Gardena,Camper/RV,Entire home/apt,$63.00
20457,Evolve,2017-04-19,La Playa,Entire loft,Entire home/apt,$177.00
20458,Eve,2012-10-20,West Los Angeles,Entire home,Entire home/apt,$408.00
20459,Kien,2022-06-01,Walnut Valley,Entire home,Entire home/apt,$380.00
20460,Jacob,2020-12-03,Canoga Park,Entire rental unit,Entire home/apt,$200.00
20461,Jacob,2020-12-03,Canoga Park,Entire rental unit,Entire home/apt,$166.00
20462,Hongxia,2018-01-21,Willmore,Entire villa,Entire home/apt,$304.00
20463,Heidi,2012-11-20,Old Topanga,Entire cabin,Entire home/apt,
20464,Monica,2016-01-12,Mar Vista,Entire home,Entire home/apt,$240.00
20465,Mercedes,2015-05-18,Fox Hills,Entire home,Entire home/apt,$380.00
20466,Mercedes,2015-05-18,Fox Hills,Entire guesthouse,Entire home/apt,$145.00
20467,Cristina,2015-06-01,Downtown Los Angeles,Entire condo,Entire home/apt,$181.00
20468,Daniel,2020-02-26,Central LA,Entire serviced apartment,Entire home/apt,$204.00
20469,Alan Raymond Tzvika,2016-10-27,Hollywood,Entire rental unit,Entire home/apt,$167.00
20470,Julian,2021-08-09,Ocean Park,Entire home,Entire home/apt,"$1,900.00"
20471,Vacation Inn LA,2015-01-03,Studio City,Entire home,Entire home/apt,$628.00
20472,Brian,2022-02-07,Ocean Park,Entire rental unit,Entire home/apt,$266.00
20473,Blanca,2022-06-24,,Entire home,Entire home/apt,$141.00
20474,Yuen,2021-10-06,,Entire guesthouse,Entire home/apt,$93.00
20475,Danubia,2020-02-20,Vineyard,Entire home,Entire home/apt,
20476,Fred,2022-06-25,Western Malibu,Entire villa,Entire home/apt,"$1,599.00"
20477,Eve,2012-10-20,West Los Angeles,Entire home,Entire home/apt,$416.00
20478,Brian,2016-07-01,Vineyard,Entire home,Entire home/apt,$231.00
20479,Roy,2015-01-08,Blanco - Culver Crest,Private room in home,Private room,$122.00
20480,Candice,2016-12-11,,Entire guest suite,Entire home/apt,$224.00
20481,Sara,2015-01-25,Echo Park,Entire home,Entire home/apt,$170.00
20482,Aaron,2021-06-20,Studio City,Entire rental unit,Entire home/apt,
20483,Lilen M,2017-02-19,Central LA,Entire townhouse,Entire home/apt,$204.00
20484,Evolve,2017-04-19,La Playa,Entire home,Entire home/apt,$340.00
20485,Alex,2019-03-04,,Entire home,Entire home/apt,$351.00
20486,Yan,2021-04-09,,Private room in home,Private room,
20487,Natalie,2013-01-11,Art District,Entire rental unit,Entire home/apt,$108.00
20488,Natalie,2013-01-11,Art District,Entire rental unit,Entire home/apt,$115.00
20489,Sarah,2017-06-25,South Redondo,Entire rental unit,Entire home/apt,$152.00
20490,Carla,2020-06-15,,Entire home,Entire home/apt,$103.00
20491,George Thomas,2014-08-17,Van Nuys,Entire home,Entire home/apt,$218.00
20492,Helena,2016-06-19,Pasadena,Entire rental unit,Entire home/apt,$398.00
20493,Monty,2015-05-17,Mid-Wilshire,Entire rental unit,Entire home/apt,$170.00
20494,Zoe,2015-08-01,Woodland Hills,Entire townhouse,Entire home/apt,$69.00
20495,Ling,2021-05-25,South of Conant,Entire home,Entire home/apt,$280.00
20496,Gabrielle,2019-07-29,,Entire home,Entire home/apt,"$4,067.00"
20497,Trae,2019-10-23,Toy District,Entire loft,Entire home/apt,$130.00
20498,Bienne,2018-06-22,Northridge,Private room in home,Private room,$45.00
20499,Dalia,2014-06-30,Palms,Entire guesthouse,Entire home/apt,$179.00
20500,Daniela,2012-07-08,Venice,Entire guesthouse,Entire home/apt,$99.00
20501,Adel,2017-01-23,Hollywood,Entire rental unit,Entire home/apt,$83.00
20502,James,2015-04-06,Downtown Los Angeles,Entire rental unit,Entire home/apt,$122.00
20503,Ranjani,2014-06-01,North Hollywood,Entire home,Entire home/apt,$217.00
20504,Milad,2017-03-12,Woodland Hills,Entire home,Entire home/apt,$150.00
20505,Martha,2016-10-01,Alhambra,Private room in home,Private room,
20506,Amalya,2014-07-21,Pasadena,Entire condo,Entire home/apt,$262.00
20507,Kien,2022-06-01,Walnut Valley,Entire home,Entire home/apt,$430.00
20508,Tchaiko,2012-12-07,Northeast Los Angeles,Entire home,Entire home/apt,
20509,Julien,2012-07-03,Venice,Entire home,Entire home/apt,$999.00
20510,Sam,2012-02-06,,Entire condo,Entire home/apt,
20511,Yuki,2015-06-04,North Hollywood,Entire home,Entire home/apt,$127.00
20512,Donna,2021-04-28,Canyon Country,Private room in home,Private room,$100.00
20513,Jerry,2014-12-12,,Private room in condo,Private room,
20514,Jordi,2012-06-04,Downtown Los Angeles,Entire condo,Entire home/apt,$171.00
20515,Alan,2016-03-20,,Entire condo,Entire home/apt,$200.00
20516,Milad,2017-03-12,Woodland Hills,Entire guest suite,Entire home/apt,$84.00
20517,Raina,2011-04-26,Sunset Park,Entire villa,Entire home/apt,$850.00
20518,Andraiah,2013-04-29,South Los Angeles,Entire home,Entire home/apt,$850.00
20519,Monika,2014-11-22,Encino,Entire condo,Entire home/apt,$150.00
20520,Ervin,2015-06-12,Garden Grove,Entire loft,Entire home/apt,$202.00
20521,Queen O,2018-06-13,South Los Angeles,Private room in bed and breakfast,Private room,$280.00
20522,Ashley,2020-06-12,South Los Angeles,Entire home,Entire home/apt,$550.00
20523,Elaine,2019-11-15,,Entire townhouse,Entire home/apt,
20524,Ian,2018-11-24,Castle Heights,Entire rental unit,Entire home/apt,$133.00
20525,Hersh,2022-06-30,Tarzana,Entire home,Entire home/apt,$480.00
20526,Justin,2014-02-10,South LA,Entire rental unit,Entire home/apt,
20527,OneTwo Mgmt,2022-04-21,Central LA,Entire rental unit,Entire home/apt,$100.00
20528,Arturo,2020-05-09,,Private room in rental unit,Private room,$90.00
20529,Larisa,2019-05-14,Mid City,Entire home,Entire home/apt,$488.00
20530,Maryam,2022-01-13,Walteria,Entire guest suite,Entire home/apt,$131.00
20531,Mark,2016-04-22,South Wrigley,Entire vacation home,Entire home/apt,$129.00
20532,Armand,2016-10-14,Downtown Los Angeles,Entire loft,Entire home/apt,
20533,Mike And Vee,2018-12-28,Venice,Entire home,Entire home/apt,$361.00
20534,Anna,2017-11-25,Riviera,Entire guesthouse,Entire home/apt,$89.00
20535,Anna,2017-11-25,Riviera,Entire home,Entire home/apt,$91.00
20536,Jerry,2016-02-13,Hastings Ranch,Entire home,Entire home/apt,
20537,Viviana,2019-09-04,,Entire home,Entire home/apt,
20538,Sumit,2019-09-03,Mid City,Entire home,Entire home/apt,$217.00
20539,Padmapriya,2016-11-19,Windsor Hills,Entire home,Entire home/apt,$150.00
20540,Cynthia,2014-05-27,,Entire guesthouse,Entire home/apt,$128.00
20541,Ali,2017-03-02,Reseda,Entire guesthouse,Entire home/apt,$213.00
20542,Minyi,2016-12-29,Norwalk,Private room in home,Private room,$60.00
20543,Susan,2017-12-08,Topanga,Entire home,Entire home/apt,$395.00
20544,Everton,2022-07-06,South Los Angeles,Entire serviced apartment,Entire home/apt,$269.00
20545,Kevin & Mari,2021-03-03,Westlake,Entire townhouse,Entire home/apt,$349.00
20546,David,2017-03-07,North Hollywood,Entire bungalow,Entire home/apt,$139.00
20547,Lvhr Properties,2015-05-05,Laurel Canyon,Entire serviced apartment,Entire home/apt,$953.00
20548,Roxanne Ethel,2019-06-16,Alamitos Beach,Private room in condo,Private room,$96.00
20549,Anna,2017-11-25,Riviera,Entire home,Entire home/apt,$166.00
20550,Melissa,2016-10-26,Mid City,Entire rental unit,Entire home/apt,$114.00
20551,Claudia,2014-12-30,,Entire condo,Entire home/apt,$250.00
20552,Pedro,2022-04-02,Memorial Heights,Entire home,Entire home/apt,$96.00
20553,Lawrence,2012-11-01,South Arroyo,Entire rental unit,Entire home/apt,$214.00
20554,Brittany,2019-03-02,Adams Hill,Entire guest suite,Entire home/apt,$171.00
20555,Renee,2015-06-07,,Entire guest suite,Entire home/apt,$96.00
20556,Tiffany,2016-01-16,,Entire condo,Entire home/apt,$722.00
20557,Christopher,2013-06-14,,Private room in townhouse,Private room,$65.00
20558,Debbie,2018-10-22,,Private room in home,Private room,$125.00
20559,Kenneth,2016-09-27,,Entire guesthouse,Entire home/apt,$244.00
20560,Jean-Marc,2017-01-04,,Entire home,Entire home/apt,$523.00
20561,Carlos,2022-07-10,Eastside,Entire home,Entire home/apt,$388.00
20562,Keith & Lou,2014-07-26,Silver Lake,Entire home,Entire home/apt,$300.00
20563,Lilly,2016-03-03,Woodland Hills,Entire home,Entire home/apt,
20564,Joy,2021-11-04,North Redondo,Entire home,Entire home/apt,$150.00
20565,Yavar,2015-08-03,Tarzana,Entire home,Entire home/apt,
20566,Aishwarya,2018-12-11,Central LA,Private room in rental unit,Private room,$53.00
20567,Netty,2014-10-18,Central LA,Entire townhouse,Entire home/apt,$579.00
20568,Mohammadreza,2016-11-12,Catalina Villas,Private room in condo,Private room,$105.00
20569,Joshua,2014-02-17,Mid City,Entire guesthouse,Entire home/apt,$253.00
